figure_id,What is the level of RNA expression in MB?,What is the level of protein expression in MB?,Nascent transcript level in MB,Cytosolic RNA level in MB,Is there obvious RNA/protein discordance (whole image- MB)?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB neuropil?,Is protein present in MB neuropil?,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Protein in MB nucleus,,,Is RNA present in MB neuropil?,Is protein present in MB neuropil?
2137759,Low,Low,Low,Low,No,No,No,yes,no,no,no,no,no,no,no,no,,,No,No
2137761,Low,None,Low,Low,Yes,Yes,No,No,No,no,no,no,no,no,no,yes,,,No,No
2137765,Moderate,Moderate,Moderate,Moderate,No,No,No,no,no,no,no,no,no,no,no,no,,,No,No
2137774,Moderate,None,Low,Moderate,Yes,No,No,no,no,no,no,no,no,no,no,no,,,No,No
2137778,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,yes,,,No,No
2137783,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,yes,,,no,no
2137788,High,Moderate,Moderate,High,Yes,No,No,No,Yes,no,no,no,no,no,no,no,,,no,no
2137794,Low,Moderate,Moderate,Low,No,No,No,no,no,no,no,no,no,no,no,no,,,No,No
2137803,Low,Low,Low,Low,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,No
2137808,High,High,High,High,Yes,Yes,No,no,yes,no,no,no,no,no,no,no,,,no,no
2137809,High,Moderate,High,High,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,no,no
2137812,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,no,no
2137875,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,No
2137891,None,Low,None,None,No,No,No,No,Yes,no,no,no,no,no,no,no,,,No,No
2137895,None,High,None,None,Yes,No,Yes,No,Yes,no,no,no,yes,no,no,no,,,No,No
2137902,Low,Moderate,Low,Low,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,no,no
2137911,Moderate,None,Moderate,Moderate,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,no,no
2137923,Low,None,None,Low,No,Yes,No,Yes,No,no,no,no,no,no,no,no,,,No,No
2137940,High,High,Moderate,High,Yes,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,no,no
2137945,Low,Moderate,None,Low,No,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,No,No
2137950,High,Low,Moderate,High,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,no,no
2137977,None,Moderate,None,None,No,No,Yes,no,no,no,no,no,no,no,no,no,,,No,No
2137979,Moderate,High,High,Moderate,No,Yes,Yes,No,No,no,no,yes,yes,no,no,yes,,,no,no
2137984,Moderate,Low,Low,Moderate,No,No,No,no,yes,no,no,no,no,no,no,no,,,no,no
2137985,Moderate,Low,High,Moderate,No,No,No,no,no,no,no,no,no,no,no,no,,,no,no
2137986,Moderate,High,Moderate,Moderate,Yes,Yes,No,yes,yes,no,no,no,no,no,no,no,,,No,No
2137992,High,Moderate,Moderate,High,No,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,no,no
2137994,None,Low,None,None,No,No,Yes,No,Yes,no,no,no,no,no,no,no,,,no,no
2137996,High,Moderate,Moderate,High,No,No,Yes,No,Yes,no,no,yes,yes,no,no,yes,,,no,no
2138025,Moderate,Low,Low,Moderate,No,No,No,no,yes,no,no,no,no,no,no,no,,,No,No
2138031,High,High,High,High,Yes,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,no,no
2138033,High,High,Moderate,High,No,Yes,Yes,yes,yes,no,no,yes,yes,no,no,no,,,No,No
2138036,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,No,No
2138038,High,Moderate,Moderate,High,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,no,no
2138043,High,Moderate,High,High,Yes,Yes,No,yes,yes,no,no,yes,yes,no,no,no,,,no,no
2138048,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,yes,yes,yes,no,no,no,no,no,,,No,No
2138052,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,no,no,yes,yes,no,no,no,no,no,,,No,No
2138057,Low,Low,Low,Low,Yes,No,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138063,High,High,High,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,No
2138067,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,no,no
2138076,Low,Low,Low,Low,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,no,no
2138103,Moderate,Low,Moderate,Moderate,Yes,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,no,no
2138121,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,No
2138128,Low,High,Moderate,Low,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,no,no
2138135,High,Moderate,Moderate,High,Yes,No,Yes,No,Yes,no,no,no,no,no,no,no,,,no,no
2138140,High,High,High,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,no,no
2138151,Low,Moderate,None,Low,Yes,No,No,no,yes,no,no,no,no,no,no,no,,,No,No
2138159,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,No
2138167,Moderate,Moderate,Low,Moderate,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,no,no
2138173,Low,Moderate,Low,Low,No,No,Yes,No,No,yes,yes,no,yes,no,no,no,,,no,no
2138179,Moderate,Moderate,Low,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,No
2138248,Moderate,High,Moderate,Low,Yes,Yes,No,no,no,no,no,no,no,no,no,no,,,No,No
2138250,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,No
2138255,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138259,Moderate,Moderate,Low,Moderate,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,No,No
2138264,High,High,Moderate,High,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,No,No
2138275,Low,None,Low,Low,No,No,No,no,no,no,no,no,no,no,no,no,,,No,No
2138278,None,Low,None,None,No,No,No,No,Yes,no,no,no,no,no,no,no,,,No,No
2138308,Moderate,Moderate,High,Moderate,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138311,Low,Low,Moderate,Low,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138313,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,no,yes,no,no,no,no,no,no,no,,,No,No
2138316,Low,Moderate,Moderate,Low,Yes,Yes,No,no,no,no,no,no,no,no,no,no,,,No,No
2138326,Moderate,Moderate,Low,Moderate,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,no,no
2138329,Low,Low,Low,Low,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138337,Moderate,Moderate,Low,Moderate,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,No
2138338,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,no,no
2138341,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,no,no,no,no,no,no,no,no,no,,,no,no
2138345,High,High,Moderate,High,No,Yes,Yes,no,no,no,no,yes,yes,no,no,no,,,No,No
2138348,Moderate,Moderate,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,No
2138358,Low,Low,None,Low,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138363,Low,High,None,Low,No,No,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138366,High,Moderate,High,High,Yes,Yes,Yes,No,Yes,no,no,yes,yes,no,no,no,,,yes,no
2138376,High,High,Moderate,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138387,Moderate,High,High,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,Yes,No
2138392,Low,Moderate,Low,Low,No,Yes,Yes,no,no,no,no,yes,yes,no,no,no,,,yes,no
2138393,None,Low,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138397,Moderate,Moderate,Low,Moderate,Yes,No,No,No,Yes,no,no,no,yes,no,no,no,,,yes,no
2138400,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138408,High,Moderate,High,High,No,Yes,Yes,Yes,No,no,no,no,no,no,no,no,,,Yes,No
2138411,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138415,High,Moderate,Moderate,High,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,yes,no
2138420,Low,Low,Moderate,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138424,High,Moderate,Moderate,High,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138426,Low,Low,Low,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,yes,,,yes,no
2138431,None,Moderate,None,None,No,No,Yes,no,yes,no,no,no,yes,no,no,no,,,yes,no
2138437,None,Low,None,None,No,No,No,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138443,High,Moderate,High,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,Yes,No
2138450,Low,Low,High,Low,Yes,Yes,No,yes,no,no,no,no,no,no,no,yes,,,yes,no
2138452,Low,Low,Moderate,Low,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,yes,no
2138457,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138462,High,Low,High,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138464,High,Low,High,High,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138468,Low,Moderate,Low,Low,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,yes,no
2138473,Moderate,High,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138491,Moderate,Low,Moderate,Moderate,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138496,Moderate,Moderate,Low,Moderate,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,Yes,No
2138505,High,Moderate,Moderate,High,Yes,Yes,Yes,yes,yes,no,no,yes,yes,no,no,no,,,yes,no
2138506,High,High,High,High,Yes,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138516,Moderate,Low,Moderate,Moderate,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138519,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138521,Low,Moderate,High,Low,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138526,Low,Low,Moderate,Low,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138535,Low,None,Low,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138540,High,Low,High,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,yes,no
2138545,Moderate,Low,Low,Moderate,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138550,Moderate,Low,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138554,Low,Low,Low,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138558,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,No,Yes
2138566,Low,Moderate,Low,Low,No,Yes,Yes,no,no,no,no,no,yes,no,no,no,,,No,Yes
2138576,Low,Low,Low,Low,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138579,None,Low,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138585,Moderate,Low,Moderate,Moderate,No,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138590,Moderate,None,Moderate,Moderate,No,Yes,No,yes,no,no,no,no,no,no,no,yes,,,No,Yes
2138594,Moderate,Moderate,Moderate,Moderate,Yes,Yes,No,yes,yes,no,no,no,no,no,no,yes,,,No,Yes
2138599,Moderate,High,High,Moderate,Yes,Yes,No,Yes,No,no,no,no,no,no,no,yes,,,No,Yes
2138616,Low,Low,None,Low,No,No,Yes,no,no,no,no,no,no,no,no,no,,,No,Yes
2138622,High,High,High,High,Yes,Yes,No,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138624,Low,None,Low,Low,No,Yes,No,No,No,no,no,no,no,no,no,no,,,no,yes
2138627,Low,Moderate,Low,Low,Yes,Yes,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138631,Low,Low,Low,Low,No,No,No,no,yes,no,no,no,no,no,no,no,,,No,Yes
2138633,Low,Moderate,Low,Low,Yes,Yes,Yes,no,yes,no,no,yes,yes,no,no,no,,,no,yes
2138644,Low,None,Low,Moderate,Yes,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138648,High,Moderate,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,yes,,,no,yes
2138658,Moderate,Low,Moderate,Moderate,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138659,Moderate,Moderate,Low,Moderate,Yes,Yes,No,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138660,Low,None,Low,Low,No,No,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138662,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,yes,no,no,no,,,no,yes
2138669,Moderate,Low,Low,Low,Yes,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138677,High,High,High,High,No,Yes,Yes,Yes,No,no,no,no,no,no,no,no,,,No,Yes
2138680,Low,High,Moderate,Low,No,No,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138682,Low,Low,Moderate,Low,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138693,Moderate,Moderate,Low,Moderate,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138706,Moderate,Moderate,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,yes,,,no,yes
2138724,High,High,High,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138726,Moderate,Low,Moderate,Moderate,Yes,Yes,No,yes,no,no,no,yes,yes,no,no,no,,,No,Yes
2138728,None,Low,None,None,No,No,No,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138731,High,High,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138736,Low,Low,Low,Low,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138744,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138747,Moderate,Low,Low,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138750,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,yes,,,No,Yes
2138754,Low,Low,None,Low,No,No,No,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138756,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138758,Low,Low,Moderate,Low,Yes,No,No,No,No,no,no,yes,yes,no,no,no,,,no,yes
2138765,Moderate,Moderate,Low,Moderate,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138772,High,Low,Moderate,High,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138795,Moderate,Low,Low,Moderate,Yes,Yes,No,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138796,High,High,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138797,High,Moderate,Moderate,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,no,yes
2138798,High,High,Low,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,no,yes
2138799,Low,Low,None,Low,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138800,Moderate,High,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138814,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138815,Moderate,Moderate,Moderate,Moderate,No,No,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138818,Moderate,High,Moderate,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138826,Moderate,Moderate,Low,Moderate,No,No,No,No,No,no,no,no,no,no,no,no,,,no,yes
2138829,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,yes,,,No,Yes
2138836,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138837,Moderate,High,Low,Moderate,No,Yes,Yes,No,No,no,no,yes,yes,no,no,no,,,No,Yes
2138838,High,High,Low,High,No,Yes,Yes,no,yes,no,no,no,no,no,no,no,,,No,Yes
2138839,High,Moderate,High,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138840,High,Low,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138845,None,Moderate,None,None,No,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138849,None,Low,None,None,No,No,Yes,No,No,no,no,no,yes,no,no,no,,,No,Yes
2138853,Low,Low,Low,Low,No,No,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138856,High,High,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138857,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,No,Yes
2138863,High,High,Moderate,High,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138864,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138875,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138876,High,High,Low,High,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138877,High,High,High,High,Yes,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138878,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138879,High,High,Moderate,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2138892,Moderate,Low,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138893,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138894,Low,None,Low,Low,No,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138895,Moderate,Low,Low,Moderate,No,No,No,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138908,Low,Low,High,Low,Yes,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138909,Low,Low,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138910,High,High,Low,High,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,Yes,Yes
2138917,High,Moderate,Moderate,High,No,Yes,No,no,no,no,no,no,no,no,no,yes,,,yes,yes
2138919,Low,Moderate,Low,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138926,High,Moderate,High,High,No,Yes,Yes,No,Yes,no,no,yes,yes,no,no,no,,,Yes,Yes
2138935,High,High,High,High,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138936,None,High,None,None,Yes,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,yes,yes
2138944,High,High,High,High,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2139235,Moderate,Moderate,High,Moderate,No,Yes,No,no,no,no,no,no,no,no,no,yes,,,yes,yes
2139875,High,High,Low,High,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,yes,yes
2139879,High,None,Low,High,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2139883,High,High,Moderate,High,No,Yes,Yes,No,Yes,no,no,yes,yes,no,no,no,,,yes,yes
2139896,High,Moderate,High,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2139976,Moderate,High,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2140574,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2140578,Moderate,Moderate,High,Moderate,No,Yes,No,no,no,no,no,no,no,no,no,no,,,yes,yes
2140583,Low,Low,Low,Low,No,No,No,No,Yes,yes,yes,yes,yes,yes,yes,no,,,Yes,Yes
2140666,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,Yes,Yes
2140667,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2140668,High,High,Moderate,High,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,Yes,Yes
2140678,Low,None,Low,Low,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,Yes,Yes