figure_id,CB_data_interpretable,Comments
2138372,yes,
2138694,yes,
2137980,yes,
2138786,yes,
2138552,yes,
2138256,yes,
2138356,yes,
2138564,yes,
2138568,yes,
2138476,yes,
2138147,yes,
2138708,yes,
2138024,yes,
2137873,yes,
2138055,yes,
2138604,yes,
2138767,yes,
2138136,yes,
2138667,yes,
2138927,yes,
2138827,yes,
2138939,yes,
2138751,no,
2138597,yes,
2138848,no,
2138489,yes,
2138718,yes,
2138813,yes,
2137768,yes,
2138862,yes,
2137900,yes,
2138614,yes,
2138714,no,
2138138,yes,
2138722,yes,
2137928,yes,
2138499,no,
2138753,yes,
2138653,yes,
2137924,yes,
2138730,yes,
2138161,yes,
2137990,yes,
2137890,yes,
2138784,yes,
2138891,yes,
2138370,yes,
2138509,yes,
2138574,yes,
2138180,yes,
2138578,yes,
2138649,yes,
2138921,yes,
2138821,yes,
2138065,yes,
2138583,yes,
2138745,no,
2138738,yes,
2137804,yes,
2138610,yes,
2138041,yes,
2138710,yes,
2138905,yes,
2138874,yes,
2138761,yes,
2138399,yes,
2138401,yes,
2138317,yes,
2138309,yes,
2138425,yes,
2138374,yes,
2138692,yes,
2138525,no,
2138274,yes,
2137781,yes,
2138529,yes,
2138429,no,
2138266,yes,
2138511,yes,
2138503,yes,
2138252,yes,
2138460,yes,
2138548,yes,
2138782,yes,
2138435,yes,
2137896,yes,
2138889,yes,
2138315,yes,
2138831,yes,
2138852,no,
2137758,yes,
2138481,yes,
2138923,yes,
2138655,yes,
2138700,yes,
2138051,yes,
2137969,yes,
2138907,yes,
2138120,yes,
2138671,yes,
2138771,yes,
2138945,yes,
2138938,no,
2138588,yes,
2138861,yes,
2138046,yes,
2138280,yes,
2138873,yes,
2137811,yes,
2138129,yes,
2138678,yes,
2138029,yes,
2138810,yes,
2137767,yes,
2138418,yes,
2138406,yes,
2138091,yes,
2138569,yes,
2138514,yes,
2138245,yes,
2138441,yes,
2138422,yes,
2137786,yes,
2138361,no,
2138787,yes,
2138404,yes,
2138785,yes,
2138890,yes,
2138451,yes,
2138271,yes,
2138371,yes,
2138543,yes,
2138494,no,
2138623,no,
2137937,yes,
2138928,yes,
2138828,yes,
2137846,yes,
2138486,yes,
2137813,yes,
2138664,yes,
2138776,yes,
2138524,no,
2138547,yes,
2137792,yes,
2138279,yes,
2138455,yes,
2138563,yes,
2138343,yes,
2138471,no,
2137966,yes,
2138123,yes,
2138603,yes,
2138019,yes,
2138107,yes,
2138832,yes,
2138739,yes,
2137933,yes,
2137915,yes,
2138601,yes,
2138701,yes,
2138770,yes,
2137907,yes,
2138906,yes,
2138388,yes,
2138592,yes,
2138174,yes,
2137952,yes,
2138830,yes,
2138629,yes,
2138105,yes,
2138166,yes,
2138737,yes,
2137755,yes,
2138922,yes,
2138888,yes,
2138896,yes,
2138783,yes,
2138318,yes,
2138314,yes,
2138322,yes,
2138330,yes,
2138353,yes,