figure_id,RNA_CB,protein_CB,punctate_CB,Comments,,,,
2138830,both,both,no,global expression,,,,
2138514,both,both,no,global expression,,,,
2138091,both,both,yes,global expression,,,,
2138771,both,both,no,global expression,,,Total genes expressed in NBs ,
2138783,both,both,no,global expression,,,0.576719577,
2137813,both,both,no,global expression,,,,
2138123,both,both,no,global expression,,,Total genes with protein expressed specifically in progeny,
2138564,both,both,no,global expression,,,22,0.116402116
2138827,both,both,no,global expression,,,,
2138370,both,both,no,global expression,,,Progeny-specific protien expression explained by transcription,
2138821,both,both,no,global expression,,,0.272727273,
2138317,both,both,no,global expression,,,0.371363636,
2138671,both,both,no,global expression,,,,
2138406,both,both,no,global expression,,,Global expression,
2138927,both,both,no,global expression,,,101,
2138939,both,both,no,global expression,,,0.534391534,
2138494,both,both,no,global expression,,,Not expressed,
2138694,both,both,yes,global expression,,,63,
2138552,both,both,yes,global expression,,,0.333333333,
2137873,both,both,yes,global expression,,,Transcriptional regulation,
2138489,both,both,yes,global expression,,,17,
2138653,both,both,yes,global expression,,,0.08994709,
2138730,both,both,yes,global expression,,,Posttranscriptional regulation,
2137990,both,both,yes,global expression,,,8,
2138649,both,both,yes,global expression,,,0.042328042,
2138738,both,both,yes,global expression,,,,
2138874,both,both,yes,global expression,,,,
2138309,both,both,yes,global expression,,,,
2138252,both,both,yes,global expression,,,,
2138051,both,both,yes,global expression,,,,
2138280,both,both,yes,global expression,,,,
2138810,both,both,yes,global expression,,,,
2138418,both,both,yes,global expression,,,,
2138569,both,both,yes,global expression,,,,
2137786,both,both,yes,global expression,,,,
2138785,both,both,yes,global expression,,,,
2138563,both,both,yes,global expression,,,,
2138739,both,both,yes,global expression,,,,
2138629,both,both,yes,global expression,,,,
2138166,both,both,yes,global expression,,,,
2138737,both,both,yes,global expression,,,,
2138372,both,both,no,global expression,,,,
2137980,both,both,no,global expression,,,,
2138256,both,both,no,global expression,,,,
2138568,both,both,no,global expression,,,,
2138147,both,both,no,global expression,,,,
2138604,both,both,no,global expression,,,,
2138667,both,both,no,global expression,,,,
2138597,both,both,no,global expression,,,,
2138718,both,both,no,global expression,,,,
2138862,both,both,no,global expression,,,,
2138614,both,both,no,global expression,,,,
2138138,both,both,no,global expression,,,,
2137824,both,both,no,global expression,,,,
2138161,both,both,no,global expression,,,,
2138784,both,both,no,global expression,,,,
2138891,both,both,no,global expression,,,,
2138509,both,both,no,global expression,,,,
2138180,both,both,no,global expression,,,,
2138065,both,both,no,global expression,,,,
2138165,both,both,no,global expression,,,,
2137804,both,both,no,global expression,,,,
2138041,both,both,no,global expression,,,,
2138710,both,both,no,global expression,,,,
2138761,both,both,no,global expression,,,,
2138401,both,both,no,global expression,,,,
2138692,both,both,no,global expression,,,,
2138266,both,both,no,global expression,,,,
2138548,both,both,no,global expression,,,,
2138889,both,both,no,global expression,,,,
2138481,both,both,no,global expression,,,,
2138923,both,both,no,global expression,,,,
2138700,both,both,no,global expression,,,,
2138907,both,both,no,global expression,,,,
2137827,both,both,no,global expression,,,,
2138945,both,both,no,global expression,,,,
2138588,both,both,no,global expression,,,,
2138037,both,both,no,global expression,,,,
2138873,both,both,no,global expression,,,,
2138129,both,both,no,global expression,,,,
2138029,both,both,no,global expression,,,,
2137767,both,both,no,global expression,,,,
2138245,both,both,no,global expression,,,,
2138404,both,both,no,global expression,,,,
2138271,both,both,no,global expression,,,,
2138543,both,both,no,global expression,,,,
2137937,both,both,no,global expression,,,,
2138486,both,both,no,global expression,,,,
2138279,both,both,no,global expression,,,,
2138455,both,both,no,global expression,,,,
2138343,both,both,no,global expression,,,,
2137966,both,both,no,global expression,,,,
2138603,both,both,no,global expression,,,,
2138107,both,both,no,global expression,,,,
2137915,both,both,no,global expression,,,,
2138592,both,both,no,global expression,,,,
2137952,both,both,no,global expression,,,,
2137823,both,both,no,global expression,,,,
2138105,both,both,no,global expression,,,,
2137755,both,both,no,global expression,,,,
2138888,both,both,no,global expression,,,,
2138425,no,no,no,not expressed,,,,
2138435,no,no,no,not expressed,,,,
2138524,no,no,no,not expressed,,,,
2138574,no,no,no,not expressed,,,,
2138921,no,no,no,not expressed,,,,
2138813,no,no,no,not expressed,,,,
2138787,no,no,no,not expressed,,,,
2138896,no,no,no,not expressed,,,,
2138274,no,no,no,not expressed,,,,
2137969,no,no,no,not expressed,,,,
2138330,no,no,no,not expressed,,,,
2138356,no,no,no,not expressed,,,,
2138476,no,no,no,not expressed,,,,
2138708,no,no,no,not expressed,,,,
2138136,no,no,no,not expressed,,,,
2138751,no,no,no,not expressed,,,,
2138848,no,no,no,not expressed,,,,
2137768,no,no,no,not expressed,,,,
2137900,no,no,no,not expressed,,,,
2138714,no,no,no,not expressed,,,,
2138499,no,no,no,not expressed,,,,
2138753,no,no,no,not expressed,,,,
2137924,no,no,no,not expressed,,,,
2137890,no,no,no,not expressed,,,,
2138578,no,no,no,not expressed,,,,
2138745,no,no,no,not expressed,,,,
2138610,no,no,no,not expressed,,,,
2138905,no,no,no,not expressed,,,,
2138399,no,no,no,not expressed,,,,
2138374,no,no,no,not expressed,,,,
2138525,no,no,no,not expressed,,,,
2138429,no,no,no,not expressed,,,,
2138511,no,no,no,not expressed,,,0.592391304,1.315217394
2138503,no,no,no,not expressed,,,,0.657608697
2138315,no,no,no,not expressed,,,,
2138852,no,no,no,not expressed,,,,
2137758,no,no,no,not expressed,,,,
2138655,no,no,no,not expressed,,,,
2138120,no,no,no,not expressed,,,,
2138938,no,no,no,not expressed,,,,
2138861,no,no,no,not expressed,,,,
2138046,no,no,no,not expressed,,,,
2137775,no,no,no,not expressed,,,,
2137811,no,no,no,not expressed,,,,
2138678,no,no,no,not expressed,,,,
2138422,no,no,no,not expressed,,,,
2138361,no,no,no,not expressed,,,,
2138890,no,no,no,not expressed,,,,
2138623,no,no,no,not expressed,,,,
2138928,no,no,no,not expressed,,,,
2138828,no,no,no,not expressed,,,,
2137846,no,no,no,not expressed,,,,
2138664,no,no,no,not expressed,,,,
2138776,no,no,no,not expressed,,,,
2138547,no,no,no,not expressed,,,,
2138019,no,no,no,not expressed,,,,
2137933,no,no,no,not expressed,,,,
2138601,no,no,no,not expressed,,,,
2138701,no,no,no,not expressed,,,,
2138770,no,no,no,not expressed,,,,
2138906,no,no,no,not expressed,,,,
2138318,no,no,no,not expressed,,,,
2138314,no,no,no,not expressed,,,,
2138786,both,progeny,yes,posttranscriptional regulation,,,,
2138722,both,progeny,no,posttranscriptional regulation,,,,
2137928,both,progeny,no,posttranscriptional regulation,,,,
2138371,both,progeny,no,posttranscriptional regulation,,,,
2138832,both,progeny,no,posttranscriptional regulation,,,,
2138322,both,progeny,no,posttranscriptional regulation,,,,
2138767,both,no,no,posttranscriptional regulation,,,,
2138441,both,no,no,posttranscriptional regulation,,,,
2138471,progeny,progeny,no,transcriptional regulation,,,,
2138460,progeny,progeny,no,transcriptional regulation,,,,
2138583,progeny,progeny,no,transcriptional regulation,,,,
2138024,progeny,progeny,yes,transcriptional regulation,,,,
2137907,progeny,progeny,yes,transcriptional regulation,,,,
2137896,progeny,progeny,no,transcriptional regulation,,,,
2138055,progeny,progeny,yes,transcriptional regulation,,,,
2137781,progeny,progeny,no,transcriptional regulation,,,,
2138529,progeny,progeny,no,transcriptional regulation,,,,
2138782,progeny,progeny,no,transcriptional regulation,,,,
2138831,progeny,progeny,no,transcriptional regulation,,,,
2138451,progeny,progeny,no,transcriptional regulation,,,,
2138388,progeny,progeny,no,transcriptional regulation,,,,
2138174,progeny,progeny,no,transcriptional regulation,,,,
2138922,progeny,progeny,no,transcriptional regulation,,,,
2138353,progeny,no,no,transcriptional regulation,,,,
2137792,progeny,progeny,yes,transcriptional regulation,,,,