figure_id,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Notes,,,,
2138256,yes,yes,no,no,no,no," Really specific, good example of cortical glia",,,,
2138024,yes,yes,no,no,no,no," cortical glia cell body specific, punctate",,,,
2137873,yes,yes,no,no,no,no, ,,,,
2138136,no,yes,no,no,no,no, ,,,,
2138597,yes,yes,no,no,no,no, very obvious RNA and protein,,,,
2137768,yes,yes,no,no,no,no, ,,,,35
2137824,yes,yes,no,no,no,no, very obvious,,,,
2137990,yes,yes,no,no,no,no, ,,,,
2138891,yes,yes,no,no,no,no, ,,,,
2138180,yes,yes,no,no,no,no, ,,,,0.897435897
2138065,yes,yes,no,no,no,no, ,,,,
2138738,yes,yes,no,no,no,no, ,,,,
2137804,yes,yes,yes,yes,no,no, ,,,,
2137781,yes,yes,no,no,no,no, ,,,,
2138831,yes,yes,no,no,no,no, ,,,,
2138051,yes,yes,no,no,no,no, punctate,,,,
2138046,yes,yes,no,no,no,no, ,,,,
2138280,yes,yes,no,no,no,no, ,,,,
2138129,yes,yes,no,no,no,no, ,,,,
2138029,yes,yes,no,no,no,no, ,,,,
2138245,no,yes,no,no,no,no, bright protein in parts but smFISH is low quality,,,,
2137786,yes,yes,yes,yes,no,no, ,,,,
2138451,yes,yes,no,no,no,no, ,,,,
2138271,yes,yes,no,no,no,no, ,,,,
2137846,yes,yes,yes,yes,no,no, ,,,,
2138664,no,yes,no,no,no,no, ,,,,
2138563,yes,yes,no,no,no,no, very nice protein,,,,
2138343,yes,yes,no,no,no,no,"potential figure for CG expression, high quality",,,,
2137966,yes,yes,no,no,no,no, ,,,,
2138603,yes,yes,no,no,no,no, very obvious,,,,
2138107,yes,yes,no,no,no,no, ,,,,
2137907,yes,yes,no,no,no,no,very punctate protein,,,,
2138174,yes,yes,no,no,no,no, ,,,,
2138105,yes,yes,no,no,no,no, ,,,0.202072539,
2138737,yes,yes,no,no,no,no, ,,,,
2137755,yes,yes,no,no,no,no, ,,,,
2138922,yes,yes,no,no,no,no, ,,,,
2138322,yes,yes,no,no,no,no," high, specific protein expression confined to the CG soma",,,,
2138372,no,no,no,no,no,no, ,,,,
2138694,no,no,no,no,no,no, ,,,,
2137980,no,no,no,no,no,no, ,,,,
2138786,no,no,no,no,no,no, ,,,,
2138552,no,no,no,no,no,no, ,,,,
2138356,no,no,no,no,no,no, ,,,,
2139974,no,no,no,no,no,no, ,,,,
2138564,no,no,no,no,no,no, ,,,,
2138568,no,no,no,no,no,no, ,,,,
2138476,no,no,no,no,no,no, ,,,,
2138147,no,no,yes,yes,no,no,possible figure image,,,,
2138708,no,no,no,no,no,no, ,,,,
2138055,no,no,no,no,no,no, ,,,,
2138604,no,no,no,no,no,no, ,,,,
2138767,no,no,no,no,no,no, ,,,,
2138667,no,no,no,no,no,no, ,,,,
2138927,no,no,no,no,no,no, ,,,,
2138827,no,no,no,no,no,no, ,,,,
2138939,no,no,no,no,no,no, ,,,,
2138751,no,no,no,no,no,no, ,,,,
2138848,no,no,no,no,no,no, ,,,,
2138489,no,no,no,no,no,no, ,,,,
2138718,no,no,no,no,no,no, ,,,,
2138813,no,no,no,no,no,no, ,,,,
2138862,no,no,no,no,no,no, ,,,,
2137900,no,no,yes,yes,no,no, check for RNA in gli-ites,,,,
2138614,no,no,no,no,no,no, ,,,,
2138714,no,no,no,no,no,no, ,,,,
2138138,no,no,no,no,no,no, ,,,,
2138722,no,no,no,no,no,no, ,,,,
2137928,no,no,no,no,no,no, ,,,,
2138499,no,no,no,no,no,no, ,,,,
2138753,no,no,no,no,no,no, ,,,,
2138653,no,no,no,no,no,no, ,,,,
2137924,no,no,no,no,no,no, ,,,,
2138730,no,no,no,no,no,no, ,,,,
2138161,no,no,no,no,no,no, ,,,,
2137890,no,no,no,no,no,no, ,,,,
2138784,no,no,no,no,no,no, ,,,,
2138370,no,no,no,no,no,no, ,,,,
2138509,no,no,no,no,no,no, ,,,,
2138574,no,no,no,no,no,no, ,,,,
2139876,no,no,no,no,no,no, ,,,,
2138578,no,no,no,no,no,no, ,,,,
2138649,no,no,no,no,no,no, ,,,,
2138921,no,no,no,no,no,no, ,,,,
2138821,no,no,no,no,no,no, ,,,,
2138583,no,no,no,no,no,no, ,,,,
2138165,no,no,no,no,no,no, ,,,,
2138745,no,no,no,no,no,no, ,,,,
2138610,no,no,no,no,no,no, ,,,,
2138041,no,no,no,no,no,no, ,,,,
2138710,no,no,no,no,no,no, ,,,,
2138905,no,no,no,no,no,no, ,,,,
2138874,no,no,no,no,no,no, ,,,,
2138761,no,no,no,no,no,no, ,,,,
2138399,no,no,no,no,no,no, ,,,,
2138401,no,no,no,no,no,no, ,,,,
2138317,no,no,no,no,no,no, ,,,,
2138309,no,no,no,no,no,no, ,,,,
2138425,no,no,no,no,no,no, ,,,,
2138374,no,no,no,no,no,no, ,,,,
2138692,no,no,no,no,no,no, ,,,,
2138525,no,no,no,no,no,no, ,,,,
2138274,no,no,no,no,no,no, ,,,,
2138529,no,no,no,no,no,no, ,,,,
2138429,no,no,no,no,no,no, ,,,,
2138266,no,no,no,no,no,no, ,,,,
2138511,no,no,no,no,no,no, ,,,,
2138503,no,no,no,no,no,no, ,,,,
2138252,no,no,no,no,no,no, ,,,,
2138460,no,no,no,no,no,no, ,,,,
2138548,no,no,no,no,no,no, ,,,,
2138782,no,no,no,no,no,no, ,,,,
2138435,no,no,no,no,no,no, ,,,,
2137896,no,no,no,yes,no,no, Really distinct NPG protein but bad smFISH. Looks like Gs2,,,,
2138889,no,no,no,no,no,no, ,,,,
2138315,no,no,no,no,no,no, ,,,,
2138852,no,no,no,no,no,no, ,,,,
2137758,no,no,no,no,no,no, ,,,,
2138481,no,no,no,no,no,no, ,,,,
2138923,no,no,no,no,no,no, ,,,,
2138655,no,no,no,no,no,no, ,,,,
2138700,no,no,no,no,no,no, ,,,,
2137969,no,no,no,no,no,no, ,,,,
2138907,no,no,no,no,no,no, ,,,,
2138120,no,no,no,no,no,no, ,,,,
2138671,no,no,no,no,no,no, ,,,,
2138771,no,no,no,no,no,no, ,,,,
2137827,no,no,no,no,no,no, ,,,,
2138945,no,no,no,no,no,no, ,,,,
2138938,no,no,no,no,no,no, ,,,,
2138588,no,no,no,no,no,no, ,,,,
2138861,no,no,no,no,no,no, ,,,,
2137775,no,no,no,no,no,no, ,,,,
2138037,no,no,no,no,no,no, ,,,,
2138873,no,no,no,no,no,no, ,,,,
2137811,no,no,no,no,no,no, ,,,,
2138678,no,no,no,no,no,no, ,,,,
2138810,no,no,no,no,no,no, ,,,,
2137767,no,no,no,no,no,no, ,,,,
2138418,no,no,no,no,no,no, ,,,,
2138406,no,no,no,no,no,no, ,,,,
2138091,no,no,no,no,no,no, ,,,,
2138569,no,no,no,no,no,no, ,,,,
2138514,no,no,no,no,no,no, ,,,,
2138441,no,no,no,no,no,no, ,,,,
2138422,no,no,no,no,no,no, ,,,,
2138361,no,no,no,no,no,no, ,,,,
2138787,no,no,no,no,no,no, ,,,,
2138404,no,no,no,no,no,no, ,,,,
2138785,no,no,no,no,no,no, ,,,,
2138890,no,no,no,no,no,no, ,,,,
2138371,no,no,no,no,no,no, ,,,,
2138543,no,no,no,no,no,no, ,,,,
2138494,no,no,no,no,no,no, ,,,,
2138623,no,no,no,no,no,no, ,,,,
2137937,no,no,no,yes,no,no," possibly surace glia, need to double check",,,,
2139884,no,no,no,no,no,no, ,,,,
2138928,no,no,no,no,no,no, ,,,,
2138828,no,no,no,no,no,no, ,,,,
2138486,no,no,no,no,no,no, ,,,,
2137813,no,no,no,no,no,no, ,,,,
2138776,no,no,no,no,no,no, ,,,,
2138524,no,no,no,no,no,no, ,,,,
2138547,no,no,no,no,no,no, ,,,,
2137792,no,no,no,no,no,no, ,,,,
2138279,no,no,no,no,no,no, ,,,,
2138455,no,no,no,no,no,no, ,,,,
2138471,no,no,no,no,no,no, ,,,,
2138123,no,no,no,no,no,no, ,,,,
2138019,no,no,no,no,no,no, ,,,,
2138832,no,no,no,no,no,no, ,,,,
2138739,no,no,no,no,no,no, ,,,,
2137933,no,no,no,no,no,no, ,,,,
2139880,no,no,no,no,no,no, ,,,,
2137915,no,no,no,no,no,no, ,,,,
2138601,no,no,no,no,no,no, ,,,,
2138701,no,no,no,no,no,no, ,,,,
2138770,no,no,no,no,no,no, ,,,,
2138906,no,no,no,no,no,no, ,,,,
2138388,no,no,no,no,no,no, ,,,,
2138592,no,no,no,no,no,no, ,,,,
2137952,no,no,no,no,no,no, ,,,,
2138830,no,no,no,no,no,no, ,,,,
2138629,no,no,no,no,no,no, ,,,,
2137823,no,no,no,no,no,no, ,,,,
2138166,no,no,no,no,no,no, ,,,,
2138888,no,no,no,no,no,no, ,,,,
2138896,no,no,no,no,no,no, ,,,,
2138783,no,no,no,no,no,no, ,,,,
2138318,no,no,no,no,no,no, ,,,,
2138314,no,no,no,no,no,no, ,,,,
2138330,no,no,no,no,no,no, ,,,,
2138353,no,no,no,no,no,no, ,,,,