FBgn,figure_id,RNA_NB lineage,protein_NB lineage,punctate_CB,Comments,Comments,Comments,Comments,Comments,Comments
FBgn0028341,2137755,both,both,no,global expression,global expression,114,0.57,0.785,57
FBgn0262743,2137767,both,both,no,global expression,not expressed,43,0.215,0.215,22
FBgn0000117,2137786,both,both,yes,global expression,transcriptional regulation,31,0.155,0.720930233,15
FBgn0001624,2137804,both,both,no,global expression,posttranscriptional regulation,12,0.06,0.279069767,6
FBgn0026418,2137813,both,both,no,global expression,,,,,100
FBgn0041789,2137823,both,both,no,global expression,,200,,,
FBgn0263391,2137824,both,both,no,global expression,,,,,
FBgn0016059,2137827,both,both,no,global expression,,,,,
FBgn0014007,2137846,both,both,,global expression,,,,,
FBgn0011592,2137873,both,both,yes,global expression,,,,,
FBgn0004456,2137915,both,both,no,global expression,,,,,
FBgn0003721,2137937,both,both,no,global expression,,,,,
FBgn0015229,2137952,both,both,no,global expression,,,,,
FBgn0022960,2137966,both,both,no,global expression,,,,,
FBgn0259984,2137980,both,both,no,global expression,,,,,
FBgn0266521,2137990,both,both,yes,global expression,,,,,
FBgn0260003,2138029,both,both,no,global expression,,,,,
FBgn0264975,2138037,both,both,no,global expression,,,,,
FBgn0032298,2138041,both,both,no,global expression,,,,,
FBgn0003716,2138046,both,both,,global expression,,,,,
FBgn0013997,2138051,both,both,yes,global expression,,,,,
FBgn0261988,2138065,both,both,no,global expression,,,,,
FBgn0004227,2138091,both,both,yes,global expression,,,,,
FBgn0020653,2138105,both,both,no,global expression,,,,,
FBgn0031632,2138107,both,both,no,global expression,,,,,
FBgn0262559,2138120,both,both,,global expression,,,,,
FBgn0261885,2138123,both,both,no,global expression,,,,,
FBgn0051694,2138129,both,both,no,global expression,,,,,
FBgn0003165,2138138,both,both,no,global expression,,,,,
FBgn0010215,2138147,both,both,no,global expression,,,,,
FBgn0266579,2138161,both,both,no,global expression,,,,,
FBgn0010238,2138165,both,both,no,global expression,,,,,
FBgn0004868,2138166,both,both,yes,global expression,,,,,
FBgn0002921,2138180,both,both,no,global expression,,,,,
FBgn0002645,2138245,both,both,no,global expression,,,,,
FBgn0052479,2138252,both,both,yes,global expression,,,,,
FBgn0259735,2138256,both,both,no,global expression,,,,,
FBgn0052062,2138266,both,both,no,global expression,,,,,
FBgn0036239,2138279,both,both,no,global expression,,,,,
FBgn0010415,2138309,both,both,,global expression,,,,,
FBgn0261278,2138315,both,both,,global expression,,,,,
FBgn0023167,2138317,both,both,no,global expression,,,,,
FBgn0005671,2138343,both,both,no,global expression,,,,,
FBgn0031883,2138370,both,both,no,global expression,,,,,
FBgn0041210,2138374,both,both,,global expression,,,,,
FBgn0052423,2138401,both,both,no,global expression,,,,,
FBgn0027087,2138404,both,both,no,global expression,,,,,
FBgn0039348,2138406,both,both,no,global expression,,,,,
FBgn0004647,2138418,both,both,yes,global expression,,,,,
FBgn0285937,2138422,both,both,,global expression,,,,,
FBgn0031990,2138425,both,both,,global expression,,,,,
FBgn0039882,2138455,both,both,no,global expression,,,,,
FBgn0032409,2138481,both,both,,global expression,,,,,
FBgn0039274,2138486,both,both,no,global expression,,,,,
FBgn0000547,2138489,both,both,yes,global expression,,,,,
FBgn0261238,2138494,both,both,,global expression,,,,,
FBgn0020238,2138509,both,both,no,global expression,,,,,
FBgn0265140,2138514,both,both,no,global expression,,,,,
FBgn0001215,2138524,both,both,,global expression,,,,,
FBgn0003676,2138543,both,both,no,global expression,,,,,
FBgn0000711,2138552,both,both,yes,global expression,,,,,
FBgn0283521,2138564,both,both,no,global expression,,,,,
FBgn0052626,2138568,both,both,no,global expression,,,,,
FBgn0026259,2138578,both,both,,global expression,,,,,
FBgn0023215,2138583,both,both,,global expression,,,,,
FBgn0264078,2138588,both,both,no,global expression,,,,,
FBgn0250823,2138592,both,both,no,global expression,,,,,
FBgn0051363,2138597,both,both,no,global expression,,,,,
FBgn0036165,2138601,both,both,,global expression,,,,,
FBgn0082582,2138603,both,both,no,global expression,,,,,
FBgn0261822,2138604,both,both,no,global expression,,,,,
FBgn0016977,2138610,both,both,,global expression,,,,,
FBgn0011725,2138614,both,both,no,global expression,,,,,
FBgn0037007,2138629,both,both,yes,global expression,,,,,
FBgn0265434,2138649,both,both,yes,global expression,,,,,
FBgn0003459,2138653,both,both,yes,global expression,,,,,
FBgn0020443,2138667,both,both,no,global expression,,,,,
FBgn0085451,2138671,both,both,no,global expression,,,,,
FBgn0024238,2138692,both,both,no,global expression,,,,,
FBgn0063485,2138694,both,both,yes,global expression,,,,,
FBgn0261618,2138700,both,both,no,global expression,,,,,
FBgn0028343,2138701,both,both,,global expression,,,,,
FBgn0035397,2138710,both,both,no,global expression,,,,,
FBgn0037010,2138718,both,both,no,global expression,,,,,
FBgn0032949,2138730,both,both,yes,global expression,,,,,
FBgn0000392,2138737,both,both,yes,global expression,,,,,
FBgn0031645,2138738,both,both,yes,global expression,,,,,
FBgn0015222,2138739,both,both,yes,global expression,,,,,
FBgn0264607,2138761,both,both,no,global expression,,,,,
FBgn0000261,2138771,both,both,no,global expression,,,,,
FBgn0015513,2138783,both,both,no,global expression,,,,,
FBgn0000017,2138784,both,both,no,global expression,,,,,
FBgn0045823,2138785,both,both,yes,global expression,,,,,
FBgn0027598,2138810,both,both,yes,global expression,,,,,
FBgn0030400,2138821,both,both,no,global expression,,,,,
FBgn0261617,2138827,both,both,no,global expression,,,,,
FBgn0263594,2138828,both,both,,global expression,,,,,
FBgn0011817,2138830,both,both,no,global expression,,,,,
FBgn0026250,2138862,both,both,no,global expression,,,,,
FBgn0004839,2138873,both,both,no,global expression,,,,,
FBgn0004449,2138874,both,both,yes,global expression,,,,,
FBgn0030478,2138888,both,both,no,global expression,,,,,
FBgn0259214,2138889,both,both,no,global expression,,,,,
FBgn0286818,2138891,both,both,no,global expression,,,,,
FBgn0005777,2138907,both,both,no,global expression,,,,,
FBgn0004177,2138923,both,both,no,global expression,,,,,
FBgn0265523,2138927,both,both,no,global expression,,,,,
FBgn0016685,2138939,both,both,no,global expression,,,,,
FBgn0000253,2138945,both,both,no,global expression,,,,,
FBgn0259176,2140584,both,both,,global expression,,,,,
FBgn0053293,2139974,both,both,,global expression,,,,,
FBgn0034282,2139876,both,both,,global expression,,,,,
FBgn0003371,2139884,both,both,,global expression,,,,,
FBgn0037073,2137768,no,no,no,not expressed,,,,,
FBgn0037110,2137775,no,no,no,not expressed,,,,,
FBgn0267376,2137890,no,no,no,not expressed,,,,,
FBgn0010316,2137924,no,no,no,not expressed,,,,,
FBgn0004878,2137933,no,no,no,not expressed,,,,,
FBgn0000097,2138019,no,no,no,not expressed,,,,,
FBgn0262733,2138136,no,no,no,not expressed,,,,,
FBgn0015774,2138314,no,no,no,not expressed,,,,,
FBgn0022382,2138318,no,no,no,not expressed,,,,,
FBgn0021764,2138330,no,no,no,not expressed,,,,,
FBgn0259143,2138356,no,no,no,not expressed,,,,,
FBgn0001098,2138361,no,no,no,not expressed,,,,,
FBgn0033446,2138399,no,no,no,not expressed,,,,,
FBgn0004167,2138429,no,no,no,not expressed,,,,,
FBgn0036449,2138435,no,no,no,not expressed,,,,,
FBgn0026533,2138471,no,no,,not expressed,,,,,
FBgn0023407,2138476,no,no,no,not expressed,,,,,
FBgn0263997,2138511,no,no,no,not expressed,,,,,
FBgn0004872,2138525,no,no,no,not expressed,,,,,
FBgn0041605,2138547,no,no,no,not expressed,,,,,
FBgn0031268,2138623,no,no,no,not expressed,,,,,
FBgn0261722,2138655,no,no,no,not expressed,,,,,
FBgn0284408,2138664,no,no,no,not expressed,,,,,
FBgn0040207,2138678,no,no,no,not expressed,,,,,
FBgn0264442,2138714,no,no,no,not expressed,,,,,
FBgn0052685,2138745,no,no,no,not expressed,,,,,
FBgn0037707,2138751,no,no,no,not expressed,,,,,
FBgn0000183,2138753,no,no,no,not expressed,,,,,
FBgn0030870,2138813,no,no,no,not expressed,,,,,
FBgn0000053,2138848,no,no,no,not expressed,,,,,
FBgn0028622,2138852,no,no,no,not expressed,,,,,
FBgn0002772,2138861,no,no,no,not expressed,,,,,
FBgn0028327,2138890,no,no,no,not expressed,,,,,
FBgn0000721,2138896,no,no,no,not expressed,,,,,
FBgn0266098,2138905,no,no,no,not expressed,,,,,
FBgn0024989,2138906,no,no,no,not expressed,,,,,
FBgn0264307,2138921,no,no,no,not expressed,,,,,
FBgn0011763,2138928,no,no,no,not expressed,,,,,
FBgn0030521,2138938,no,no,no,not expressed,,,,,
FBgn0034075,2139880,no,no,,not expressed,,,,,
FBgn0263037,2140679,no,no,,not expressed,,,,,
FBgn0015221,2140669,no,no,,not expressed,,,,,
FBgn0029687,2140575,no,no,,not expressed,,,,,
FBgn0013733,2137928,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0031294,2138055,both,progeny,,posttranscriptional regulation,,,,,
FBgn0261552,2138322,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0263396,2138371,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0003261,2138372,both,progeny,,posttranscriptional regulation,,,,,
FBgn0259212,2138460,both,progeny,,posttranscriptional regulation,,,,,
FBgn0015790,2138548,both,progeny,,posttranscriptional regulation,,,,,
FBgn0261090,2138574,both,progeny,,posttranscriptional regulation,,,,,
FBgn0027529,2138708,both,progeny,,posttranscriptional regulation,,,,,
FBgn0023509,2138722,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0022986,2138786,both,progeny,yes,posttranscriptional regulation,,,,,
FBgn0285926,2138832,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0036337,2138499,both,both,no,global expression,,,,,
FBgn0001145,2137896,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0016797,2138353,progeny,no,no,transcriptional regulation,,,,,
FBgn0003435,2138388,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0001235,2138782,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0036213,2138831,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0263930,2137758,both,no,,transcriptional regulation,,,,,
FBgn0000635,2137781,both,progeny,,transcriptional regulation,,,,,
FBgn0015773,2137792,progeny,progeny,,transcriptional regulation,,,,,
FBgn0026721,2137811,progeny,no,,transcriptional regulation,,,,,
FBgn0015776,2137900,no,no,,transcriptional regulation,,,,,
FBgn0053087,2137907,both,progeny,,transcriptional regulation,,,,,
FBgn0011224,2137969,both,both,,transcriptional regulation,,,,,
FBgn0011828,2138024,both,progeny,,transcriptional regulation,,,,,
FBgn0027356,2138174,progeny,progeny,,transcriptional regulation,,,,,
FBgn0031307,2138271,progeny,progeny,,transcriptional regulation,,,,,
FBgn0003041,2138274,NB,both,,transcriptional regulation,,,,,
FBgn0259244,2138280,progeny,progeny,,transcriptional regulation,,,,,
FBgn0010217,2138441,progeny,progeny,,transcriptional regulation,,,,,
FBgn0036816,2138451,both,both,,transcriptional regulation,,,,,
FBgn0010905,2138503,both,no,,transcriptional regulation,,,,,
FBgn0004924,2138529,progeny,progeny,,transcriptional regulation,,,,,
FBgn0015777,2138563,progeny,progeny,,transcriptional regulation,,,,,
FBgn0011206,2138767,both,progeny,,transcriptional regulation,,,,,
FBgn0035533,2138770,no,no,,transcriptional regulation,,,,,
FBgn0029939,2138776,progeny,progeny,,transcriptional regulation,,,,,
FBgn0001987,2138787,both,both,,transcriptional regulation,,,,,
FBgn0261836,2138922,progeny,progeny,,transcriptional regulation,,,,,
FBgn0020660,2139986,both,both,,transcriptional regulation,,,,,
FBgn0000636,2140581,progeny,progeny,,transcriptional regulation,,,,,
FBgn0001250,2140670,progeny,no,,transcriptional regulation,,,,,
FBgn0001124,2140671,both,progeny,,transcriptional regulation,,,,,