figure_id,RNA_MB_neuropil,protein_MB_neuropil,Comments,RNA yes,RNA no,protein yes,protein no
2138798,yes,no,,49,151,49,151
2138576,yes,no,,,,,
2137778,yes,yes,,,,,
2138063,yes,no,,,,,
2138839,yes,yes,,,,,
2138765,yes,yes,,,,,
2138038,yes,yes,,,,,
2138829,yes,yes,,,,,
2138622,yes,yes,,,,,
2138796,yes,yes,,,,,
2137875,yes,yes,,,,,
2138462,yes,no,,,,,
2138250,yes,no,,,,,
2137986,yes,yes,,,,,
2138411,yes,yes,,,,,
2138264,yes,no,,,,,
2137783,yes,yes,,,,,
2138376,yes,no,,,,,
2137984,yes,yes,,,,,
2138659,yes,yes,,,,,
2138724,yes,no,,,,,
2138179,yes,yes,,,,,
2138926,yes,yes,,,,,
2138025,yes,yes,,,,,
2138506,yes,yes,,,,,
2138326,yes,no,,,,,
2138338,yes,no,,,,,
2138408,yes,no,,,,,
2138797,yes,yes,,,,,
2138443,yes,yes,,,,,
2138836,yes,no,,,,,
2138594,yes,yes,,,,,
2138731,yes,no,,,,,
2138800,yes,no,,,,,
2137895,yes,yes,glia,,,,
2138140,yes,no,,,,,
2138879,yes,yes,,,,,
2137809,yes,no,,,,,
2138908,yes,no,,,,,
2138756,yes,no,,,,,
2137950,yes,no,,,,,
2138590,yes,yes,,,,,
2138033,yes,yes,,,,,
2138877,yes,yes,,,,,
2138473,yes,no,,,,,
2138311,no,no,,,,,
2138540,no,no,,,,,
2138893,no,no,,,,,
2138431,no,no,,,,,
2138452,no,no,,,,,
2137992,no,no,,,,,
2138248,no,no,,,,,
2138519,no,no,,,,,
2138348,no,no,,,,,
2138464,no,no,,,,,
2138415,no,no,,,,,
2138468,no,no,,,,,
2138616,no,no,,,,,
2137774,no,no,,,,,
2138159,no,yes,,,,,
2138393,no,no,,,,,
2137902,no,no,,,,,
2138128,no,no,,,,,
2138036,no,no,,,,,
2138585,no,no,,,,,
2137945,no,no,,,,,
2138944,no,yes,,,,,
2138935,no,no,,,,,
2138856,no,no,,,,,
2137812,no,no,,,,,
2138057,no,no,,,,,
2138706,no,no,,,,,
2138677,no,no,,,,,
2138669,no,no,,,,,
2138837,no,no,,,,,
2138173,no,no,,,,,
2138599,no,no,,,,,
2138550,no,no,,,,,
2138450,no,no,,,,,
2138313,no,no,,,,,
2138521,no,no,,,,,
2138358,no,no,,,,,
2138566,no,no,,,,,
2138337,no,no,,,,,
2138505,no,no,,,,,
2138329,no,yes,,,,,
2138491,no,no,,,,,
2138726,no,no,,,,,
2137979,no,no,,,,,
2138878,no,no,,,,,
2138387,no,no,,,,,
2138909,no,no,,,,,
2137808,no,yes,,,,,
2139235,no,no,,,,,
2138917,no,no,,,,,
2138558,no,no,,,,,
2137994,no,no,,,,,
2138554,no,no,,,,,
2138278,no,no,,,,,
2138680,no,no,,,,,
2138366,no,no,,,,,
2138437,no,no,,,,,
2138895,no,no,,,,,
2138535,no,no,,,,,
2138682,no,no,,,,,
2137996,no,no,,,,,
2138624,no,no,,,,,
2138747,no,no,,,,,
2138067,no,yes,,,,,
2138736,no,no,,,,,
2138167,no,no,,,,,
2138840,no,no,,,,,
2138728,no,no,,,,,
2137977,no,no,,,,,
2138815,no,no,,,,,
2138151,no,yes,,,,,
2138876,no,yes,,,,,
2138043,no,no,,,,,
2138397,no,yes,,,,,
2138864,no,no,,,,,
2138919,no,yes,,,,,
2138845,no,no,,,,,
2138750,no,no,,,,,
2138838,no,yes,,,,,
2138633,no,no,,,,,
2138826,no,no,,,,,
2138857,no,no,,,,,
2138849,no,no,,,,,
2138496,no,no,,,,,
2138392,no,no,,,,,
2137803,no,no,,,,,
2137911,no,no,,,,,
2138910,no,no,,,,,
2138345,no,yes,,,,,
2137794,no,no,,,,,
2138795,no,no,,,,,
2138799,no,no,,,,,
2138892,no,no,,,,,
2138516,no,no,,,,,
2138259,no,no,,,,,
2138579,no,no,,,,,
2138255,no,no,,,,,
2138363,no,yes,,,,,
2137891,no,no,,,,,
2137788,no,yes,,,,,
2138420,no,no,,,,,
2138936,no,yes,,,,,
2138631,no,no,,,,,
2138103,no,no,,,,,
2137765,no,yes,,,,,
2138135,no,yes,,,,,
2138048,no,no,,,,,
2138863,no,no,,,,,
2138275,no,no,,,,,
2138424,no,yes,,,,,
2138693,no,no,,,,,
2138308,no,yes,,,,,
2138316,no,no,,,,,
2138894,no,no,,,,,
2138400,no,no,,,,,
2138772,no,no,,,,,
2137761,no,no,,,,,
2138052,no,no,,,,,
2138875,no,yes,,,,,
2138660,no,no,,,,,
2138031,no,yes,,,,,
2138648,no,no,,,,,
2138076,no,no,,,,,
2138627,no,no,,,,,
2138744,no,no,,,,,
2138644,no,no,,,,,
2138662,no,yes,,,,,
2138814,no,no,,,,,
2138818,no,no,,,,,
2138121,no,no,,,,,
2137759,no,no,,,,,
2138853,no,no,,,,,
2138758,no,no,,,,,
2138658,no,no,,,,,
2137923,no,no,,,,,
2138754,no,no,,,,,
2137940,no,yes,,,,,
2138457,no,no,,,,,
2138545,no,no,,,,,
2137985,no,no,,,,,
2138526,no,no,,,,,
2138426,no,no,,,,,
2138341,no,no,,,,,
2139875,yes,no,,,,,
2139879,no,no,,,,,
2139883,no,no,,,,,
2139896,yes,yes,,,,,
2139976,no,yes,,,,,
2140574,no,no,,,,,
2140578,yes,no,,,,,
2140583,yes,no,,,,,
2140666,no,no,,,,,
2140667,no,no,,,,,
2140668,no,no,,,,,
2140678,no,no,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2138571,no,no,,,,,