figure_id,Protein in nucleus
2137759,no
2137761,yes
2137765,no
2137774,no
2137778,yes
2137783,yes
2137788,no
2137794,no
2137803,no
2137808,no
2137809,no
2137812,no
2137875,no
2137891,no
2137895,no
2137902,no
2137911,no
2137923,no
2137940,no
2137945,yes
2137950,no
2137977,no
2137979,yes
2137984,no
2137985,no
2137986,no
2137992,yes
2137994,no
2137996,yes
2138025,no
2138031,no
2138033,no
2138036,no
2138038,yes
2138043,no
2138048,no
2138052,no
2138057,no
2138063,no
2138067,no
2138076,no
2138103,no
2138121,no
2138128,no
2138135,no
2138140,no
2138151,no
2138159,no
2138167,no
2138173,no
2138179,no
2138248,no
2138250,no
2138255,no
2138259,no
2138264,yes
2138275,no
2138278,no
2138308,no
2138311,no
2138313,no
2138316,no
2138326,no
2138329,no
2138337,no
2138338,no
2138341,no
2138345,no
2138348,no
2138358,no
2138363,no
2138366,no
2138376,no
2138387,yes
2138392,no
2138393,no
2138397,no
2138400,no
2138408,no
2138411,no
2138415,no
2138420,no
2138424,no
2138426,yes
2138431,no
2138437,no
2138443,no
2138450,yes
2138452,no
2138457,no
2138462,no
2138464,no
2138468,no
2138473,no
2138491,no
2138496,no
2138505,no
2138506,no
2138516,no
2138519,no
2138521,no
2138526,no
2138535,no
2138540,no
2138545,no
2138550,no
2138554,yes
2138558,no
2138566,no
2138576,no
2138579,no
2138585,no
2138590,yes
2138594,yes
2138599,yes
2138616,no
2138622,no
2138624,no
2138627,no
2138631,no
2138633,no
2138644,no
2138648,yes
2138658,no
2138659,no
2138660,no
2138662,no
2138669,no
2138677,no
2138680,no
2138682,no
2138693,no
2138706,yes
2138724,no
2138726,no
2138728,yes
2138731,no
2138736,no
2138744,no
2138747,no
2138750,yes
2138754,yes
2138756,no
2138758,no
2138765,no
2138772,no
2138795,no
2138796,no
2138797,no
2138798,no
2138799,no
2138800,no
2138814,no
2138815,no
2138818,no
2138826,no
2138829,yes
2138836,no
2138837,no
2138838,no
2138839,no
2138840,no
2138845,yes
2138849,no
2138853,no
2138856,no
2138857,no
2138863,no
2138864,no
2138875,no
2138876,no
2138877,no
2138878,no
2138879,no
2138892,no
2138893,no
2138894,no
2138895,no
2138908,no
2138909,no
2138910,no
2138917,yes
2138919,no
2138926,no
2138935,no
2138936,yes
2138944,no
2139235,yes
2139875,yes
2139879,no
2139883,no
2139896,no
2139976,no
2140574,no
2140578,no
2140583,no
2140666,no
2140667,no
2140668,yes
2140678,no