figure_id,Protein localized in glia?,RNA in localized in glia
2138211,no,no
2137880,yes,yes
2137799,no,no
2138203,no,no
2137892,no,no
2138082,no,no
2138235,no,no
2138244,no,no
2138239,no,no
2138227,no,no
2138090,no,no
2137861,no,no
2137961,no,no
2137802,no,no
2137973,no,no
2138155,yes,yes
2138163,no,no
2137845,no,no
2137938,no,no
2137926,no,no
2137826,no,no
2138100,no,no
2137857,yes,yes
2137957,no,no
2137849,no,no
2137834,no,no
2138112,yes,yes
2137971,no,no
2137871,yes,no
2138145,no,no
2137863,no,no
2137963,no,no
2138110,no,no
2137836,no,no
2137936,no,no
2137855,no,no
2137955,yes,yes
2138073,no,no
2137828,yes,yes
2137859,no,no
2138102,no,no
2137947,no,no
2137847,no,no
2138061,no,no
2138201,no,no
2137882,no,no
2138213,no,no
2137797,yes,yes
2138270,no,no
2138225,no,no
2138092,no,no
2138237,no,no
2138106,no,no
2138118,no,no
2137943,no,no
2137843,no,no
2138114,no,no
2137832,no,no
2138169,no,no
2138077,no,no
2138122,yes,no
2137867,no,no
2137916,no,no
2137908,no,no
2138196,no,no
2138221,no,no
2138096,no,no
2138088,no,no
2138242,yes,yes
2137886,no,no
2138217,no,no
2138209,no,no
2138205,no,no
2138240,no,no
2138223,no,no
2138094,no,no
2138098,no,no
2138198,no,no
2138231,no,no
2137888,no,no
2138219,no,no
2138207,yes,yes
2138215,no,no
2137884,no,no
2138175,no,no
2137853,no,no
2137953,no,no
2137830,no,no
2138116,no,no
2137841,no,no
2137822,no,no
2138104,no,no
2137914,no,no
2137918,no,no
2137865,no,no
2137965,no,no
2138143,no,no
2138101,no,no
2137839,no,no
2137939,no,no
2137844,no,no
2137935,no,no
2137835,no,no
2138113,no,no
2138070,no,no
2137956,no,no
2137856,no,no
2137960,no,no
2137860,no,no
2138146,no,no
2137972,no,no
2138154,no,no
2138083,no,no
2138234,no,no
2138226,no,no
2138191,no,no
2138238,no,no
2138210,yes,yes
2137981,no,no
2137881,no,no
2138273,no,no
2138202,no,no
2137893,no,no
2138261,no,no
2138224,no,no
2138228,no,no
2138081,no,no
2138236,no,no
2138200,no,no
2137983,no,no
2137883,no,no
2138212,yes,yes
2137829,yes,yes
2137954,no,yes
2137854,no,no
2138072,no,no
2138111,no,no
2137837,no,no
2138060,no,no
2137825,no,no
2137858,no,no
2137958,no,no
2137970,no,no
2137913,no,no
2138144,no,no
2137962,no,no
2137862,no,no
2138208,no,no
2137887,no,no
2138216,no,no
2138204,no,no
2138185,no,no
2138085,no,no
2138232,yes,yes
2138220,no,no
2138097,no,no
2137866,yes,yes
2137978,no,no
2137878,no,no
2137974,yes,yes
2137917,no,no
2138131,no,no
2137842,no,no
2137942,no,no
2138164,no,no
2137821,no,no
2137921,no,no
2138115,yes,yes
2137833,no,no
2137868,no,no
2137876,no,no
2137976,no,no
2137763,no,no
2137864,no,no
2138142,no,no
2137919,no,no
2137819,no,no
2137831,no,no
2137852,no,no
2138009,no,no
2138078,no,no
2137840,no,no
2138206,no,no
2138218,no,no
2138269,no,no
2138214,no,no
2137885,no,no
2138222,no,no
2138230,no,no
2138099,no,no
2125613,yes,no
2125621,no,no
2137870,yes,yes
2137927,no,no
2137959,no,no
2139921,no,no
2140570,no,no
2140571,no,no
2140582,no,no
2142954,yes,yes