figure_id,RNA_OL_neuropil,protein_OL_neuropil,Comments,RNA yes,RNA no,Protein yes,Protein no
2138881,yes,yes,,57,143,65,135
2138515,yes,yes,,,,,
2138589,yes,yes,,,,,
2137912,yes,yes,,,,,135
2137800,yes,yes,,,,,
2138026,yes,yes,,,,,
2138866,yes,yes,,,,,
2137967,yes,yes,,,,,
2138702,yes,yes,,,,,
2138053,yes,yes,,,,,
2138593,yes,yes,,,,,
2138636,yes,yes,,,,,
2138132,yes,yes,,,,,
2137906,yes,yes,,,,,
2138721,yes,yes,,,,,
2138666,yes,yes,,,,,
2138880,yes,yes,,,,,
2138553,yes,yes,,,,,
2138359,yes,yes,,,,,
2137991,yes,yes,,,,,
2137784,yes,yes,,,,,
2138789,yes,yes,,,,,
2138824,yes,yes,,,,,
2138598,yes,yes,,,,,
2138039,yes,yes,,,,,
2137817,yes,yes,,,,,
2138168,yes,yes,,,,,
2137807,yes,yes,,,,,
2138865,yes,yes,,,,,
2138074,yes,yes,,,,,
2138178,yes,yes,,,,,
2138729,yes,yes,,,,,
2138410,yes,yes,,,,,
2138423,no,yes,,,,,
2138507,no,yes,,,,,
2138381,no,yes,,,,,
2137810,no,yes,,,,,
2138000,no,yes,,,,,
2138354,no,yes,,,,,
2137756,no,yes,,,,,
2138562,no,yes,,,,,
2138321,no,yes,,,,,
2138899,no,yes,,,,,
2138456,no,yes,,,,,
2138032,no,yes,,,,,
2138357,no,yes,,,,,
2138414,no,yes,,,,,
2138430,no,yes,,,,,
2138355,no,yes,,,,,
2138768,no,yes,,,,,
2138044,no,yes,,,,,
2138500,no,yes,,,,,
2137905,no,yes,,,,,
2137757,no,yes,,,,,
2138490,no,yes,,,,,
2138068,no,yes,,,,,
2138914,no,yes,,,,,
2138613,no,yes,,,,,
2138941,no,yes,,,,,
2138691,no,yes,,,,,
2138794,yes,no,,,,,
2138327,yes,no,,,,,
2138835,yes,no,,,,,
2138833,yes,no,,,,,
2137951,yes,no,,,,,
2138472,yes,no,,,,,
2138774,yes,no,,,,,
2138565,yes,no,,,,,
2138530,yes,no,,,,,
2138324,yes,no,,,,,
2138267,yes,no,,,,,
2138332,yes,no,,,,,
2138867,yes,no,,,,,
2138918,yes,no,,,,,
2138549,yes,no,,,,,
2138791,yes,no,,,,,
2138510,yes,no,,,,,
2138461,yes,no,,,,,
2138440,no,no,,,,,
2137795,no,no,,,,,
2138419,no,no,,,,,
2138339,no,no,,,,,
2138675,no,no,,,,,
2138911,no,no,,,,,
2138704,no,no,,,,,
2138732,no,no,,,,,
2138651,no,no,,,,,
2138620,no,no,,,,,
2138720,no,no,,,,,
2137934,no,no,,,,,
2138743,no,no,,,,,
2138049,no,no,,,,,
2138913,no,no,,,,,
2138126,no,no,,,,,
2138777,no,no,,,,,
2137776,no,no,,,,,
2138495,no,no,,,,,
2138946,no,no,,,,,
2138825,no,no,,,,,
2138630,no,no,,,,,
2138487,no,no,,,,,
2138858,no,no,,,,,
2138262,no,no,,,,,
2138362,no,no,,,,,
2138688,no,no,,,,,
2138788,no,no,,,,,
2137982,no,no,,,,,
2138442,no,no,,,,,
2138696,no,no,,,,,
2138883,no,no,,,,,
2137789,no,no,,,,,
2138346,no,no,,,,,
2138405,no,no,,,,,
2138229,no,no,,,,,
2138757,no,no,,,,,
2138657,no,no,,,,,
2138749,no,no,,,,,
2138634,no,no,,,,,
2138850,no,no,,,,,
2138773,no,no,,,,,
2137898,no,no,,,,,
2137998,no,no,,,,,
2137894,no,no,,,,,
2138352,no,no,,,,,
2138448,no,no,,,,,
2138897,no,no,,,,,
2137791,no,no,,,,,
2138539,no,no,,,,,
2138755,no,no,,,,,
2137877,no,no,,,,,
2138612,no,no,,,,,
2137770,no,no,,,,,
2138650,no,no,,,,,
2138584,no,no,,,,,
2138642,no,no,,,,,
2138834,no,no,,,,,
2138058,no,no,,,,,
2138349,no,no,,,,,
2138257,no,no,,,,,
2138577,no,no,,,,,
2138477,no,no,,,,,
2138699,no,no,,,,,
2137798,no,no,,,,,
2138687,no,no,,,,,
2138575,no,no,,,,,
2138467,no,no,,,,,
2138520,no,no,,,,,
2138882,no,no,,,,,
2138312,no,no,,,,,
2138723,no,no,,,,,
2138172,no,no,,,,,
2138160,no,no,,,,,
2137925,no,no,,,,,
2138156,no,no,,,,,
2138812,no,no,,,,,
2138912,no,no,,,,,
2138764,no,no,,,,,
2138027,no,no,,,,,
2138127,no,no,,,,,
2138793,no,no,,,,,
2138898,no,no,,,,,
2138436,no,no,,,,,
2138243,no,no,,,,,
2137773,no,no,,,,,
2137805,no,no,,,,,
2138703,no,no,,,,,
2138816,no,no,,,,,
2138398,no,no,,,,,
2138920,no,no,,,,,
2138482,no,no,,,,,
2138932,no,no,,,,,
2138851,no,no,,,,,
2138021,no,no,,,,,
2138117,no,no,,,,,
2138725,no,no,,,,,
2138930,no,no,,,,,
2138109,no,no,,,,,
2138654,no,no,,,,,
2138637,no,no,,,,,
2138822,no,no,,,,,
2138557,no,no,,,,,
2138534,no,no,,,,,
2138377,no,no,,,,,
2138253,no,no,,,,,
2139878,yes,no,,,,,
2139882,yes,no,,,,,
2139886,yes,yes,,,,,
2139898,yes,yes,,,,,
2139961,yes,no,,,,,
2139973,no,yes,,,,,
2139978,yes,yes,,,,,
2140576,no,no,,,,,
2140577,no,no,,,,,
2140585,no,no,,,,,
2140675,no,no,,,,,
2140676,no,yes,,,,,
2140681,no,no,,,,,
2140682,no,no,,,,,
2141755,no,no,,,,,
2138646,no,no,,,,,
,,,,,,,
,,,,,,,
2138570,no,no,,,,,
,,,,,,,
2138906,no,no,,,,,